order_id,customer_city,customer_state,category_name,product_name,order_item_total,benefit_per_order,days_for_shipping_real,late_delivery_risk,delivery_status,order_status,shipping_mode
70763,Miami,FL,Computers,Dell Laptop,1260.0,541.8,4,0,Shipping on time,COMPLETE,Standard Class
70832,Washington,DC,Computers,Dell Laptop,1200.0,540.0,3,0,Advance shipping,COMPLETE,Standard Class
68858,Palatine,IL,Strength Training,SOLE E35 Elliptical,1889.99,686.07,4,0,Shipping on time,COMPLETE,Standard Class
68837,Bronx,NY,Strength Training,SOLE E35 Elliptical,1819.99,473.2,3,0,Advance shipping,COMPLETE,Standard Class
68724,Augusta,GA,Strength Training,SOLE E35 Elliptical,1639.99,721.6,5,1,Late delivery,COMPLETE,Standard Class
70632,Cincinnati,OH,Computers,Dell Laptop,1500.0,525.0,3,0,Advance shipping,ON_HOLD,Standard Class
70731,Dallas,TX,Computers,Dell Laptop,1350.0,675.0,2,0,Shipping canceled,CANCELED,Standard Class
70846,Los Angeles,CA,Computers,Dell Laptop,1470.0,496.86,2,0,Advance shipping,PENDING,Standard Class
70828,Rego Park,NY,Computers,Dell Laptop,1470.0,529.2,4,0,Shipping on time,PENDING,Standard Class
70693,Antioch,CA,Computers,Dell Laptop,1305.0,639.45,4,0,Shipping on time,PROCESSING,Standard Class
74496,Morristown,NJ,Computers,Dell Laptop,1200.0,435.6,2,0,Advance shipping,PENDING,Standard Class
74518,Chicago,IL,Computers,Dell Laptop,1275.0,497.25,4,0,Shipping on time,PROCESSING,Standard Class
74555,Las Vegas,NV,Computers,Dell Laptop,1305.0,574.2,6,0,Shipping canceled,SUSPECTED_FRAUD,Standard Class
74506,Winnetka,CA,Computers,Dell Laptop,1417.5,524.48,2,0,Advance shipping,PENDING_PAYMENT,Standard Class
70803,Caguas,PR,Computers,Dell Laptop,1350.0,621.0,4,0,Shipping on time,PENDING_PAYMENT,Standard Class
70514,Caguas,PR,Computers,Dell Laptop,1320.0,594.0,2,1,Late delivery,PROCESSING,First Class
70702,Albuquerque,NM,Computers,Dell Laptop,1470.0,705.6,0,0,Shipping on time,COMPLETE,Same Day
70542,Weslaco,TX,Computers,Dell Laptop,1500.0,705.0,3,1,Late delivery,COMPLETE,Second Class
70747,Chicago,IL,Computers,Dell Laptop,1305.0,639.45,3,0,Advance shipping,COMPLETE,Standard Class
70618,Carlisle,PA,Computers,Dell Laptop,1245.0,510.45,4,0,Shipping on time,COMPLETE,Standard Class
68822,El Centro,CA,Basketball,SOLE E25 Elliptical,949.99,465.5,3,0,Advance shipping,COMPLETE,Standard Class
70581,Detroit,MI,Computers,Dell Laptop,1230.0,446.49,0,0,Shipping on time,PENDING,Same Day
70541,Los Angeles,CA,Computers,Dell Laptop,1485.0,534.6,2,0,Shipping on time,PENDING,Second Class
70686,West Haven,CT,Computers,Dell Laptop,1500.0,720.0,2,0,Advance shipping,PENDING,Standard Class
70557,Bellflower,CA,Computers,Dell Laptop,1455.0,698.4,3,0,Advance shipping,PENDING,Standard Class
70687,Howell,MI,Computers,Dell Laptop,1125.0,483.75,3,0,Advance shipping,PENDING,Standard Class
70641,Bronx,NY,Computers,Dell Laptop,1350.0,490.05,2,0,Advance shipping,PROCESSING,Standard Class
70761,San Diego,CA,Computers,Dell Laptop,1230.0,399.75,2,0,Advance shipping,PROCESSING,Standard Class
70666,Caguas,PR,Computers,Dell Laptop,1470.0,588.0,2,0,Advance shipping,PROCESSING,Standard Class
70612,Caguas,PR,Computers,Dell Laptop,1470.0,690.9,3,1,Late delivery,PENDING_PAYMENT,Second Class
70787,Caguas,PR,Computers,Dell Laptop,1395.0,697.5,3,1,Late delivery,PENDING_PAYMENT,Second Class
70806,Caguas,PR,Computers,Dell Laptop,1417.5,460.69,2,0,Advance shipping,PENDING_PAYMENT,Standard Class
74511,Peoria,AZ,Computers,Dell Laptop,1485.0,464.81,2,0,Shipping canceled,CANCELED,Standard Class
74526,Bakersfield,CA,Computers,Dell Laptop,1440.0,417.6,2,0,Advance shipping,PENDING,Standard Class
74571,San Jose,CA,Computers,Dell Laptop,1260.0,441.0,2,0,Advance shipping,PENDING,Standard Class
70593,Caguas,PR,Computers,Dell Laptop,1455.0,545.63,4,0,Shipping on time,COMPLETE,Standard Class
70701,Caguas,PR,Computers,Dell Laptop,1455.0,712.95,2,0,Advance shipping,COMPLETE,Standard Class
70587,Caguas,PR,Computers,Dell Laptop,1350.0,661.5,2,1,Late delivery,PROCESSING,First Class
70638,Bayamon,PR,Computers,Dell Laptop,1275.0,535.5,2,0,Shipping canceled,SUSPECTED_FRAUD,First Class
70567,Caguas,PR,Computers,Dell Laptop,1305.0,456.75,3,0,Shipping canceled,SUSPECTED_FRAUD,Standard Class
74492,Rio Grande,PR,Computers,Dell Laptop,1470.0,661.5,3,0,Advance shipping,PENDING,Standard Class
74522,Caguas,PR,Computers,Dell Laptop,1365.0,641.55,3,0,Advance shipping,PROCESSING,Standard Class
74503,Augusta,GA,Computers,Dell Laptop,1350.0,580.5,4,0,Shipping on time,PAYMENT_REVIEW,Standard Class
70642,Astoria,NY,Computers,Dell Laptop,1365.0,341.25,0,0,Shipping on time,PENDING,Same Day
70793,Caguas,PR,Computers,Dell Laptop,1485.0,697.95,4,0,Shipping on time,CLOSED,Standard Class
70837,Caguas,PR,Computers,Dell Laptop,1305.0,626.4,3,0,Advance shipping,CLOSED,Standard Class
68883,Caguas,PR,Strength Training,SOLE E35 Elliptical,1939.99,911.8,2,1,Late delivery,COMPLETE,First Class
